Genome.ID	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.Name	Batch1	GenBank.Accession	Is.Pseudogene	Is.Obsolete	Is.Partial.Gene	Enzyme	KO	Oxygen.Requirement	gene_name	pathway_name	Phylum	Class	Order	Family	Genus	Species	NCBI.Taxon.ID
637000007	637861581	Adeh_0062	acetyl-CoA acetyltransferase (EC 2.3.1.9)	Anaeromyxobacter dehalogenans 2CP-C	4	YP_463277	No	No	NA	EC:2.3.1.16===Acetyl-CoA C-acyltransferase.<<>>EC:2.3.1.9===Acetyl-CoA C-acetyltransferase.	KO:K00626===E2.3.1.9, atoB===acetyl-CoA C-acetyltransferase [EC:2.3.1.9]<<>>KO:K07508===ACAA2===acetyl-CoA acyltransferase 2 [EC:2.3.1.16]	Anaerobe	Thl	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637864087	Adeh_2547	L-lysine 2,3-aminomutase (EC 5.4.3.2)	Anaeromyxobacter dehalogenans 2CP-C	12	YP_465754	No	No	NA	EC:5.4.3.2===Lysine 2,3-aminomutase.	KO:K01843===kamA===lysine 2,3-aminomutase [EC:5.4.3.2]	Anaerobe	KamA	Lysine	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863183	Adeh_1647	Butyryl-CoA dehydrogenase	Anaeromyxobacter dehalogenans 2CP-C	3	YP_464857	No	No	NA			Anaerobe	Bcd	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637864088	Adeh_2548	L-lysine 2,3-aminomutase (EC 5.4.3.2)	Anaeromyxobacter dehalogenans 2CP-C	12	YP_465755	No	No	NA	EC:5.4.3.2===Lysine 2,3-aminomutase.	KO:K01843===kamA===lysine 2,3-aminomutase [EC:5.4.3.2]	Anaerobe	KamA	Lysine	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637864842	Adeh_3294	L-erythro-3,5-diaminohexanoate dehydrogenase (EC 1.4.1.11)	Anaeromyxobacter dehalogenans 2CP-C	12	YP_466498	No	No	NA	EC:1.4.1.11===L-erythro-3,5-diaminohexanoate dehydrogenase.	KO:K18012===kdd===L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11]	Anaerobe	Kdd	Lysine	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863903	Adeh_2364	3-oxoacid CoA-transferase, subunit A	Anaeromyxobacter dehalogenans 2CP-C	12	YP_465571	No	No	NA	EC:2.8.3.5===3-oxoacid CoA-transferase.	KO:K01028===E2.8.3.5A, scoA===3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]	Anaerobe	AtoD	Lysine	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637861878	Adeh_0360	Butyryl-CoA dehydrogenase	Anaeromyxobacter dehalogenans 2CP-C	3	YP_463573	No	No	NA	EC:1.3.8.1===Short-chain acyl-CoA dehydrogenase.	KO:K00248===ACADS, bcd===butyryl-CoA dehydrogenase [EC:1.3.8.1]	Anaerobe	Bcd	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637861567	Adeh_0048	electron transfer flavoprotein beta subunit	Anaeromyxobacter dehalogenans 2CP-C	5	YP_463263	No	No	NA		KO:K03521===fixA, etfB===electron transfer flavoprotein beta subunit	Anaerobe	EtfB	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637861561	Adeh_0042	butyrate kinase (EC 2.7.2.7)	Anaeromyxobacter dehalogenans 2CP-C	9	YP_463257	No	No	NA	EC:2.7.2.7===Butyrate kinase.	KO:K00929===E2.7.2.7, buk===butyrate kinase [EC:2.7.2.7]	Anaerobe	Buk	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637861560	Adeh_0041	phosphate butyryltransferase (EC 2.3.1.19)	Anaeromyxobacter dehalogenans 2CP-C	7	YP_463256	No	No	NA	EC:2.3.1.19===Phosphate butyryltransferase.	KO:K00634===ptb===phosphate butyryltransferase [EC:2.3.1.19]	Anaerobe	Ptb	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863014	Adeh_1485	D-lysine 5,6-aminomutase beta subunit (EC 5.4.3.4)/beta-lysine 5,6-aminomutase beta subunit (EC 5.4.3.3)	Anaeromyxobacter dehalogenans 2CP-C	12	YP_464695	No	No	NA	EC:5.4.3.3===Beta-lysine 5,6-aminomutase.	KO:K18011===kamE===beta-lysine 5,6-aminomutase beta subunit [EC:5.4.3.3]	Anaerobe	KamE	Lysine	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637865676	Adeh_4118	Acyl-CoA dehydrogenase	Anaeromyxobacter dehalogenans 2CP-C	3	YP_467319	No	No	NA			Anaerobe	Bcd	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637861568	Adeh_0049	electron transfer flavoprotein alpha subunit apoprotein	Anaeromyxobacter dehalogenans 2CP-C	4	YP_463264	No	No	NA		KO:K03522===fixB, etfA===electron transfer flavoprotein alpha subunit	Anaerobe	EtfA	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863202	Adeh_1666	short chain enoyl-CoA hydratase (EC 4.2.1.17)	Anaeromyxobacter dehalogenans 2CP-C	2	YP_464876	No	No	NA	EC:4.2.1.17===Enoyl-CoA hydratase.	KO:K01715===crt===enoyl-CoA hydratase [EC:4.2.1.17]	Anaerobe	Cro	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863902	Adeh_2363	3-oxoacid CoA-transferase, subunit B	Anaeromyxobacter dehalogenans 2CP-C	12	YP_465570	No	No	NA	EC:2.8.3.5===3-oxoacid CoA-transferase.	KO:K01029===E2.8.3.5B, scoB===3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]	Anaerobe	AtoA	Lysine	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863016	Adeh_1487	3-keto-5-aminohexanoate cleavage enzyme	Anaeromyxobacter dehalogenans 2CP-C	12	YP_464697	No	No	NA		KO:K18013===kce===3-keto-5-aminohexanoate cleavage enzyme	Anaerobe	Kce	Lysine	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863904	Adeh_2365	Acetyl-CoA C-acetyltransferase	Anaeromyxobacter dehalogenans 2CP-C	4	YP_465572	No	No	NA	EC:2.3.1.9===Acetyl-CoA C-acetyltransferase.	KO:K00626===E2.3.1.9, atoB===acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	Anaerobe	Thl	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863015	Adeh_1486	3-aminobutyryl-CoA ammonia-lyase (EC 4.3.1.14)	Anaeromyxobacter dehalogenans 2CP-C	12	YP_464696	No	No	NA	EC:4.3.1.14===3-aminobutyryl-CoA ammonia-lyase.	KO:K18014===kal===3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14]	Anaerobe	Kal	Lysine	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863203	Adeh_1667	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	Anaeromyxobacter dehalogenans 2CP-C	1	YP_464877	No	No	NA	EC:1.1.1.157===3-hydroxybutyryl-CoA dehydrogenase.	KO:K00074===paaH, hbd, fadB, mmgB===3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	Anaerobe	Hbd	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863012	Adeh_1483	D-lysine 5,6-aminomutase alpha subunit (EC 5.4.3.4)/beta-lysine 5,6-aminomutase alpha subunit (EC 5.4.3.3)	Anaeromyxobacter dehalogenans 2CP-C	12	YP_464693	No	No	NA	EC:5.4.3.3===Beta-lysine 5,6-aminomutase.	KO:K01844===kamD===beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]	Anaerobe	KamD	Lysine	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863200	Adeh_1664	Butyryl-CoA dehydrogenase	Anaeromyxobacter dehalogenans 2CP-C	3	YP_464874	No	No	NA		KO:K00257===E1.3.99.-===	Anaerobe	Bcd	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000007	637863201	Adeh_1665	Butyryl-CoA dehydrogenase	Anaeromyxobacter dehalogenans 2CP-C	3	YP_464875	No	No	NA	EC:1.3.8.1===Short-chain acyl-CoA dehydrogenase.	KO:K00248===ACADS, bcd===butyryl-CoA dehydrogenase [EC:1.3.8.1]	Anaerobe	Bcd	Pyruvate	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	290397
637000060	637754340	CHY_1599	electron transfer flavoprotein alpha subunit apoprotein	Carboxydothermus hydrogenoformans Z-2901	4	YP_360427	No	No	NA		KO:K03522===fixB, etfA===electron transfer flavoprotein alpha subunit	Anaerobe	EtfA	Pyruvate	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus hydrogenoformans	246194
637000060	637754034	CHY_1292	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	Carboxydothermus hydrogenoformans Z-2901	1	YP_360126	No	No	NA	EC:1.1.1.157===3-hydroxybutyryl-CoA dehydrogenase.	KO:K00074===paaH, hbd, fadB, mmgB===3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	Anaerobe	Hbd	Pyruvate	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus hydrogenoformans	246194
637000060	637754341	CHY_1600	electron transfer flavoprotein beta subunit	Carboxydothermus hydrogenoformans Z-2901	5	YP_360428	No	No	NA		KO:K03521===fixA, etfB===electron transfer flavoprotein beta subunit	Anaerobe	EtfB	Pyruvate	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus hydrogenoformans	246194
637000060	637754345	CHY_1604	acetyl-CoA acetyltransferase	Carboxydothermus hydrogenoformans Z-2901	4	YP_360432	No	No	NA	EC:2.3.1.9===Acetyl-CoA C-acetyltransferase.	KO:K00626===E2.3.1.9, atoB===acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	Anaerobe	Thl	Pyruvate	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus hydrogenoformans	246194
637000060	637754030	CHY_1288	acetyl-CoA acetyltransferase (EC 2.3.1.9)	Carboxydothermus hydrogenoformans Z-2901	4	YP_360122	No	No	NA	EC:2.3.1.9===Acetyl-CoA C-acetyltransferase.	KO:K00626===E2.3.1.9, atoB===acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	Anaerobe	Thl	Pyruvate	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus hydrogenoformans	246194
637000060	637754344	CHY_1603	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	Carboxydothermus hydrogenoformans Z-2901	1	YP_360431	No	No	NA	EC:1.1.1.157===3-hydroxybutyryl-CoA dehydrogenase.	KO:K00074===paaH, hbd, fadB, mmgB===3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	Anaerobe	Hbd	Pyruvate	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus hydrogenoformans	246194
637000060	637754342	CHY_1601	short chain enoyl-CoA hydratase (EC 4.2.1.17)	Carboxydothermus hydrogenoformans Z-2901	2	YP_360429	No	No	NA	EC:4.2.1.17===Enoyl-CoA hydratase.	KO:K01715===crt===enoyl-CoA hydratase [EC:4.2.1.17]	Anaerobe	Cro	Pyruvate	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus hydrogenoformans	246194
