genome	contig	length	genome_name	strain_name
GCA_000182765.2_ASM18276v2_genomic.fna	HE605209.1	957321	Candida parapsilosis	Candida parapsilosis
GCA_000182765.2_ASM18276v2_genomic.fna	HE605208.1	1789679	Candida parapsilosis	Candida parapsilosis
GCA_000182765.2_ASM18276v2_genomic.fna	HE605207.1	962442	Candida parapsilosis	Candida parapsilosis
GCA_000182765.2_ASM18276v2_genomic.fna	HE605206.1	3023470	Candida parapsilosis	Candida parapsilosis
GCA_000182765.2_ASM18276v2_genomic.fna	HE605205.1	2091826	Candida parapsilosis	Candida parapsilosis
GCA_000182765.2_ASM18276v2_genomic.fna	HE605204.1	1039767	Candida parapsilosis	Candida parapsilosis
GCA_000182765.2_ASM18276v2_genomic.fna	HE605203.1	2235583	Candida parapsilosis	Candida parapsilosis
GCA_000182765.2_ASM18276v2_genomic.fna	HE605202.1	898305	Candida parapsilosis	Candida parapsilosis
GCA_000182765.2_ASM18276v2_genomic.fna	HE605210.1	31781	Candida parapsilosis	Candida parapsilosis
GCF_000002655.1_ASM265v1_genomic.fna	NC_007194.1	4918979	Aspergillus fumigatus	Aspergillus fumigatus Af293
GCF_000002655.1_ASM265v1_genomic.fna	NC_007195.1	4844472	Aspergillus fumigatus	Aspergillus fumigatus Af293
GCF_000002655.1_ASM265v1_genomic.fna	NC_007196.1	4079167	Aspergillus fumigatus	Aspergillus fumigatus Af293
GCF_000002655.1_ASM265v1_genomic.fna	NC_007197.1	3923705	Aspergillus fumigatus	Aspergillus fumigatus Af293
GCF_000002655.1_ASM265v1_genomic.fna	NC_007198.1	3948441	Aspergillus fumigatus	Aspergillus fumigatus Af293
GCF_000002655.1_ASM265v1_genomic.fna	NC_007199.1	3778736	Aspergillus fumigatus	Aspergillus fumigatus Af293
GCF_000002655.1_ASM265v1_genomic.fna	NC_007200.1	2058334	Aspergillus fumigatus	Aspergillus fumigatus Af293
GCF_000002655.1_ASM265v1_genomic.fna	NC_007201.1	1833124	Aspergillus fumigatus	Aspergillus fumigatus Af293
GCF_000003835.1_ASM383v1_genomic.fna	NW_003101575.1	1787903	Clavispora lusitaniae	Clavispora lusitaniae ATCC 42720
GCF_000003835.1_ASM383v1_genomic.fna	NW_003101577.1	2215196	Clavispora lusitaniae	Clavispora lusitaniae ATCC 42720
GCF_000003835.1_ASM383v1_genomic.fna	NW_003101573.1	814710	Clavispora lusitaniae	Clavispora lusitaniae ATCC 42720
GCF_000003835.1_ASM383v1_genomic.fna	NW_003101572.1	779898	Clavispora lusitaniae	Clavispora lusitaniae ATCC 42720
GCF_000003835.1_ASM383v1_genomic.fna	NW_003101574.1	1456586	Clavispora lusitaniae	Clavispora lusitaniae ATCC 42720
GCF_000003835.1_ASM383v1_genomic.fna	NW_003101578.1	2423571	Clavispora lusitaniae	Clavispora lusitaniae ATCC 42720
GCF_000003835.1_ASM383v1_genomic.fna	NW_003101576.1	1874050	Clavispora lusitaniae	Clavispora lusitaniae ATCC 42720
GCF_000003835.1_ASM383v1_genomic.fna	NW_003101571.1	744036	Clavispora lusitaniae	Clavispora lusitaniae ATCC 42720
GCF_000003835.1_ASM383v1_genomic.fna	NW_003101579.1	18942	Clavispora lusitaniae	Clavispora lusitaniae ATCC 42720
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020038.1	2474448	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020049.1	2308670	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020055.1	2216334	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020056.1	1654078	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020057.1	1368217	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020058.1	1255791	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020059.1	920995	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020060.1	802573	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020061.1	498422	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020039.1	430102	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020040.1	419327	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020041.1	125861	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020042.1	22644	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020043.1	12816	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020044.1	11214	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020045.1	11104	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020046.1	8471	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020047.1	8448	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020048.1	7285	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020050.1	6389	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020051.1	6342	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020052.1	5408	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020053.1	4896	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000006335.3_ASM633v3_genomic.fna	NW_003020054.1	50304	Candida tropicalis	Candida tropicalis MYA-3404
GCF_000146045.2_R64_genomic.fna	NC_001133.9	230218	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001134.8	813184	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001135.5	316620	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001136.10	1531933	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001137.3	576874	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001138.5	270161	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001139.9	1090940	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001140.6	562643	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001141.2	439888	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001142.9	745751	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001143.9	666816	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001144.5	1078177	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001145.3	924431	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001146.8	784333	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001147.6	1091291	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001148.4	948066	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000146045.2_R64_genomic.fna	NC_001224.1	85779	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C
GCF_000149245.1_CNA3_genomic.fna	NC_026745.1	2291499	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026746.1	1621675	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026747.1	1575141	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026748.1	1084805	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026749.1	1814975	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
