status	arrow color	arrow group	species	accession.paper	accession
encode BSH only	red	A1	Eubacterium ventriosum ATCC27560	ZP_02027297.1	ZP_02027297.1
encode BSH only	red	A2	Eubacterium ventriosum ATCC27560	ZP_02026836.1	ZP_02026836.1
encode BSH only	red	B1	Ruminococcus obeum ATCC29174	EDM88905.1	EDM88905.1
encode BSH only	red	B2	Ruminococcus gnavus ATCC 29149	EDN78955.1	EDN78955.1
encode BSH only	red	C	Methanobrevibacter smithii ATCC35061	ABQ87191.1	ABQ87191.1
encode BSH only	red	D1	Lactobacillus acidophilus NCFM/ ATCC700396	AAV42751.1	AAV42751.1
encode BSH only	red	D2	Lactobacillus acidophilus NCFM/ ATCC700396	AAV42923.1	AAV42923.1
encode BSH only	red	E	Collinsella aerofaciens ATCC25986	ZP_01771587.1	ZP_01771587.1
encode BSH only	red	F	Bifidobacterium adolescentis L2-32	EDN82839.1	EDN82839.1
encode BSH only	red	G	Bifidobacterium bifidum ATCC15696	AAT11512.1	AAT11512.1
encode BSH only	red	H	Bifidobacterium longum SBT2928	AAF67801.1	AAF67801.1
encode both BSH and PVA activity	blue	I1	Lactobacillus plantarum WCFS1	CAD65617.1	CAD65617.1
encode both BSH and PVA activity	blue	I2	Lactobacillus plantarum WCFS1	NP_783921.1	WP_011100864.1
encode both BSH and PVA activity	blue	I3	Lactobacillus plantarum WCFS1	NP_786598.1	WP_003643511.1
encode both BSH and PVA activity	blue	J1	Enterococcus faecalis V583	AAO80370.1	AAO80370.1
encode both BSH and PVA activity	blue	J2	Enterococcus faecalis V583	NP_816620.1	NP_816620.1
encode both BSH and PVA activity	blue	K1	Listeria monocytogenes EGD-e	CAD00145.1	CAD00145.1
encode both BSH and PVA activity	blue	K2	Listeria monocytogenes EGD-e	NP_463975.1	NP_463975.1
encode both BSH and PVA activity	blue	L1	Clostridium perfringens Str.13	BAB80415.1	BAB80415.1
encode both BSH and PVA activity	blue	L2	Clostridium perfringens Str.13	BAB80798.1	BAB80798.1
encode both BSH and PVA activity	blue	M1	Parabacteroides distasonis ATCC8503	ABR43305.1	ABR43305.1
encode both BSH and PVA activity	blue	M2	Parabacteroides distasonis ATCC8503	ABR42134.1	ABR42134.1
encode both BSH and PVA activity	blue	M3	Parabacteroides distasonis ATCC8503	ABR42537.1	ABR42537.1
encode both BSH and PVA activity	blue	N1	Bacteroides uniformis ATCC8429	EDO53654.1	EDO53654.1
encode both BSH and PVA activity	blue	N2	Bacteroides uniformis ATCC8429	EDO55730.1	EDO55730.1
encode both BSH and PVA activity	blue	O1	Bacteroides vulgatus ATCC8482	ABR40351.1	ABR40351.1
encode both BSH and PVA activity	blue	O2	Bacteroides vulgatus ATCC8482	ABR41596.1	ABR41596.1
encode both BSH and PVA activity	blue	P1	Bacteroides ovatus ATCC8483	EDO11155.1	EDO11155.1
encode both BSH and PVA activity	blue	P2	Bacteroides ovatus ATCC8483	EDO11390.1	EDO11390.1
encode no BSH	gray	Q	Bacillus licheniformis DSM 13	AAU43030	AAU43030.1
encode no BSH	gray	R	Lactococcus lactis subsp. cremoris MG1363	CAL98005	CAL98005.1
encode no BSH	gray	S	Salmonella typhimurium LT2	AAL20459	AAL20459.1
